defect_id,defect_type,material_grade,product_id,date,dataset
96,1086,Grade 2,15429,01-12-2020,Training
999,1151,Grade KP,3405,04-01-2021,Training
1405,1098,Grade 2,1571,15-12-2020,Training
870,1098,Grade A,3851,23-01-2021,Training
2187,1052,Grade 2,3692,08-01-2021,Training
4783,1060,Grade 1,9580,09-01-2021,Training
2926,1052,Grade 2,11694,27-01-2021,Training
3073,1151,Grade 1,8372,06-01-2021,Training
543,1079,Grade 1,1932,18-01-2021,Training
5003,1019,Grade 2,3753,07-01-2021,Training
4168,1077,Grade 1P,19831,31-12-2020,Training
2920,1045,Grade 2,11694,27-01-2021,Training
1485,1079,Grade 1P,15671,13-12-2020,Training
3240,1052,Grade 2,15453,23-01-2021,Training
3324,1072,Grade 2,1123,26-12-2020,Training
2676,1060,Grade 1,3335,26-01-2021,Training
1564,1099,Grade B1,3727,18-01-2021,Training
3878,1030,Grade 1P,8574,07-01-2021,Training
1010,1151,Grade KP,3405,04-01-2021,Training
2186,1052,Grade 2,3692,08-01-2021,Training
817,1098,Grade A,7204,23-01-2021,Training
2456,1078,Grade 2P,7408,24-12-2020,Training
3345,1072,Grade 2,1123,26-12-2020,Training
1430,1098,Grade AP,7732,23-01-2021,Training
3179,1078,Grade 1,8888,16-12-2020,Training
1506,1098,Grade AP,6847,13-12-2020,Training
1047,1151,Grade 1P,12805,13-01-2021,Training
3165,1078,Grade 1,8888,16-12-2020,Training
4566,1052,Grade 2,3719,27-01-2021,Training
4440,1171,Grade 2P,18070,27-01-2021,Training
4822,1098,Grade 2,13826,02-01-2021,Training
4781,1060,Grade 1,9580,09-01-2021,Training
760,1086,Grade 2,7339,23-01-2021,Training
4130,1077,Grade 1P,9184,31-12-2020,Training
3147,1078,Grade 1,3423,18-01-2021,Training
3177,1078,Grade 1,8888,16-12-2020,Training
717,1086,Grade 2,7339,23-01-2021,Training
2963,1045,Grade 1,17952,11-01-2021,Training
508,1151,Grade 1,2918,08-01-2021,Training
2257,1099,Grade 1P,8624,01-12-2020,Training
1753,1171,Grade 2,9346,04-12-2020,Training
4360,1052,Grade B1,3127,04-12-2020,Training
3122,1078,Grade 1,5242,18-01-2021,Training
3478,1078,Grade 2,6196,23-01-2021,Training
4425,1171,Grade 1P,2785,27-01-2021,Training
3042,1001,Grade 1,3856,23-12-2020,Training
3439,1052,Grade KP,29895,22-12-2020,Training
3376,1078,Grade 1,591,05-12-2020,Training
3459,1151,Grade K1,2054,15-01-2021,Training
616,1052,Grade 1,6714,04-12-2020,Training
329,1079,Grade B1,1696,29-12-2020,Training
3145,1078,Grade 1,25846,18-01-2021,Training
1001,1151,Grade KP,3405,04-01-2021,Training
61,1086,Grade 2,15429,01-12-2020,Training
4435,1171,Grade 1P,2785,27-01-2021,Training
2849,1072,,328,18-12-2020,Training
31,1099,Grade 1,6734,25-12-2020,Training
3807,1078,Grade 1P,10789,19-12-2020,Training
3639,1041,Grade 2P,3993,04-12-2020,Training
